id,repository_id,url,stars,commit_count,sizes,fork,release_count,release_id,repos_addr
2832,355687,https://github.com/ChainsDD/Superuser,466,381,12254,322,0,NULL,NULL
2833,1388495,https://github.com/jbellis/jamm,453,107,104,83,7,NULL,NULL
2834,206412,https://github.com/apache/wicket,432,20267,121934,300,259,NULL,NULL
2835,379247,https://github.com/OWASP/OWASP-WebScarab,394,1213,19387,160,0,NULL,NULL
2837,933698,https://github.com/OpenGamma/OG-Platform,238,1,231318,165,217,NULL,NULL
2838,4576586,https://github.com/winterstein/Eclipse-Markdown-Editor-Plugin,260,88,743,66,3,NULL,NULL
2839,5054081,https://github.com/StevenRudenko/ActionsContentView,443,115,1326,195,0,NULL,NULL
2840,738023,https://github.com/lintool/Cloud9,237,1381,182664,145,0,NULL,NULL
2841,3655776,https://github.com/urbanairship/datacube,258,301,4681,61,31,NULL,NULL
2842,2154376,https://github.com/JetBrains/Grammar-Kit,314,957,68750,55,28,NULL,NULL
2843,1274723,https://github.com/wg/scrypt,362,21,1006,124,9,NULL,NULL
2844,16793330,https://github.com/gridgain/gridgain,281,6800,110387,88,23,NULL,NULL
2845,1057490,https://github.com/jpos/jPOS,333,4349,57679,295,47,NULL,NULL
2846,1987667,https://github.com/sachin-handiekar/jInstagram,362,413,6937,176,25,NULL,NULL
2847,2832710,https://github.com/foursquare/heapaudit,222,94,388,46,0,NULL,NULL
2848,5204396,https://github.com/TimotheeJeannin/ProviGen,243,286,9819,22,4,NULL,NULL
2849,1572576,https://github.com/guardianproject/lildebi,216,578,9358,48,18,NULL,NULL
2850,612967,https://github.com/tinkerpop/pipes,278,470,3988,47,19,NULL,NULL
2851,3041952,https://github.com/tamingtext/book,339,96,156046,189,1,NULL,NULL
2852,64684,https://github.com/myabc/markdownj,414,101,1346,93,4,NULL,NULL
2853,1907041,https://github.com/chariotsolutions/phonegap-nfc,446,510,1213,251,28,NULL,NULL
2854,3276212,https://github.com/imagej/imagej,415,9119,111847,181,87,NULL,NULL
2856,1264677,https://github.com/brutall/brut.apktool,318,495,47915,124,14,NULL,NULL
2857,3795725,https://github.com/qiniu/java-sdk,348,836,6915,315,52,NULL,NULL
2858,2383782,https://github.com/apache/oozie,390,2137,29117,350,42,NULL,NULL
2859,4867945,https://github.com/daneren2005/Subsonic,261,3787,135476,93,102,NULL,NULL
2860,21099,https://github.com/davidB/scala-maven-plugin,373,605,5124,97,41,NULL,NULL
2861,912291,https://github.com/dcm4che/dcm4che,375,1958,56218,294,45,NULL,NULL
