['org.codehaus.sonar.plugins', 'sonar-jacoco-plugin', '3.3-M5', 'sonar-plugin', None]
['org.eclipse.che.plugin', 'che-plugin-python-lang-server', '5.0.0-M1-SNAPSHOT', 'jar', None]
['org.bytedeco.javacpp-presets', 'ffmpeg', '3.3.2-1.3.3-SNAPSHOT', 'jar', 'linux-x86_64']
['org.springframework.kafka', 'spring-kafka', '2.0.0.BUILD-SNAPSHOT', 'jar', None]
['org.eclipse.jetty.example-async-rest', 'example-async-rest-webapp', '9.2.2-SNAPSHOT', 'war', None]
['com.metamx.druid', 'druid-indexer', '0.1.26-SNAPSHOT', 'jar', None]
['org.eclipse.che.plugin', 'che-plugin-php-lang-server', '5.0.0-SNAPSHOT', 'jar', None]
['org.xwiki.platform', 'xwiki-platform-search-solr-rest', '10.4-SNAPSHOT', 'jar', None]
['org.springframework.roo', 'org.springframework.roo.model', '1.2.6.BUILD-SNAPSHOT', 'jar', None]
['cc.blynk.server.hardware', 'tcp-hardware-server', '0.24.3-SNAPSHOT', 'jar', None]
['com.fireflysource', 'firefly-nettool', '1.0-SNAPSHOT', 'jar', None]
['io.undertow', 'undertow-examples', '1.0.0.Beta11-SNAPSHOT', 'jar', None]
['org.eclipse.che.plugin', 'che-plugin-cpp-lang-server', '6.0.0-M3', 'jar', None]
