('com.amazonaws', 'aws-java-sdk-serverlessapplicationrepository', '1.11.285', 'jar', None, '(Feb 23, 2018) ', 'http://mvnrepository.com/repos/central', 'aws-java-sdk-serverlessapplicationrepository-1.11.285.jar')
('com.vladmihalcea.flexy-pool', 'flexy-hikaricp', '1.2.9', 'test-jar', None, '(Jun 30, 2017) ', 'http://mvnrepository.com/repos/central', 'flexy-hikaricp-1.2.9-tests.jar')
('org.mule.modules', 'mule-module-extensions-support', '3.8.0', 'jar', None, '(Jun 06, 2016) ', 'http://mvnrepository.com/repos/central', 'mule-module-extensions-support-3.8.0.jar')
('com.amazonaws', 'aws-java-sdk-kinesis', '1.10.68', 'jar', None, '(Apr 08, 2016) ', 'http://mvnrepository.com/repos/central', 'aws-java-sdk-kinesis-1.10.68.jar')
('org.mule.modules', 'mule-module-annotations', '3.8.4', 'jar', None, '(Mar 31, 2017) ', 'http://mvnrepository.com/repos/mulesoft-releases', 'mule-module-annotations-3.8.4.jar')
('io.zipkin.brave', 'brave-instrumentation-jaxrs2', '4.9.2', 'jar', None, '(Nov 10, 2017) ', 'http://mvnrepository.com/repos/central', 'brave-instrumentation-jaxrs2-4.9.2.jar')
('com.amazonaws', 'aws-java-sdk-emr', '1.9.25', 'jar', None, '(Mar 19, 2015) ', 'http://mvnrepository.com/repos/central', 'aws-java-sdk-emr-1.9.25.jar')
('org.codehaus.enunciate', 'enunciate-gwt', '1.12.1', 'jar', None, '(Jun 18, 2009) ', 'http://mvnrepository.com/repos/central', 'enunciate-gwt-1.12.1.jar')
('it.geosolutions.jaiext.scale', 'jt-scale', '1.0.21', 'jar', None, '(Apr 14, 2018) ', 'http://mvnrepository.com/repos/boundless', 'jt-scale-1.0.21.jar')
('com.ning.billing', 'killbill-tenant', '0.1.39', 'jar', None, '(Oct 16, 2012) ', 'http://mvnrepository.com/repos/central', 'killbill-tenant-0.1.39.jar')
('org.onosproject', 'onos-protocols-ovsdb-api', '1.13.1', 'jar', None, '(May 02, 2018) ', 'http://mvnrepository.com/repos/central', 'onos-protocols-ovsdb-api-1.13.1.jar')
('com.amazonaws', 'aws-java-sdk-opsworks', '1.9.18', 'jar', None, '(Feb 10, 2015) ', 'http://mvnrepository.com/repos/central', 'aws-java-sdk-opsworks-1.9.18.jar')
('org.eclipse.jgit', 'org.eclipse.jgit.http.server', '3.6.0.201412230720-r', 'jar', None, '(Dec 24, 2014) ', 'http://mvnrepository.com/repos/central', 'org.eclipse.jgit.http.server-3.6.0.201412230720-r.jar')
('org.togglz', 'togglz-deltaspike', '2.1.0.Final', 'jar', None, '(Dec 16, 2014) ', 'http://mvnrepository.com/repos/central', 'togglz-deltaspike-2.1.0.Final.jar')
('org.rapidoid', 'rapidoid-http-client', '5.2.5', 'jar', None, '(Sep 28, 2016) ', 'http://mvnrepository.com/repos/central', 'rapidoid-http-client-5.2.5.jar')
('org.apache.activemq', 'activemq-jaas', '5.11.1', 'jar', None, '(Feb 13, 2015) ', 'http://mvnrepository.com/repos/central', 'activemq-jaas-5.11.1.jar')
('com.amazonaws', 'aws-java-sdk-batch', '1.11.112', 'jar', None, '(Mar 31, 2017) ', 'http://mvnrepository.com/repos/central', 'aws-java-sdk-batch-1.11.112.jar')
('com.amazonaws', 'aws-java-sdk-discovery', '1.11.181', 'jar', None, '(Aug 22, 2017) ', 'http://mvnrepository.com/repos/central', 'aws-java-sdk-discovery-1.11.181.jar')
('com.google.errorprone', 'error_prone_core', '2.0.10', 'jar', None, '(Jul 15, 2016) ', 'http://mvnrepository.com/repos/central', 'error_prone_core-2.0.10.jar')
('com.twitter.elephantbird', 'elephant-bird-lucene', '4.6rc4', 'test-jar', None, '(Jul 15, 2014) ', 'http://mvnrepository.com/repos/central', 'elephant-bird-lucene-4.6rc4-tests.jar')
('com.ning.billing', 'killbill-junction', '0.1.29', 'jar', None, '(Aug 21, 2012) ', 'http://mvnrepository.com/repos/central', 'killbill-junction-0.1.29.jar')
('io.zipkin.java', 'zipkin-autoconfigure-collector-kafka', '1.14.3', 'jar', None, '(Nov 01, 2016) ', 'http://mvnrepository.com/repos/central', 'zipkin-autoconfigure-collector-kafka-1.14.3.jar')
('org.dspace', 'dspace-sword', '4.1', 'war', None, '(Mar 03, 2014) ', 'http://mvnrepository.com/repos/central', 'dspace-sword-4.1.war')
('org.aspectj', 'aspectjrt', '1.7.3', 'jar', None, '(Jun 22, 2013) ', 'http://mvnrepository.com/repos/central', 'aspectjrt-1.7.3.jar')
('org.immutables', 'mirror', '2.6.0-alpha1', 'jar', None, '(Nov 14, 2017) ', 'http://mvnrepository.com/repos/central', 'mirror-2.6.0-alpha1.jar')
('com.amazonaws', 'aws-java-sdk-models', '1.11.303', 'jar', None, '(Mar 27, 2018) ', 'http://mvnrepository.com/repos/central', 'aws-java-sdk-models-1.11.303.jar')
