[351621, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.3.1.2.2.9.10-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 21, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.3.1.2.2.9.10-2']
[351610, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.4.1.2.3.0.3-7', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 22, 2015) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.4.1.2.3.0.3-7']
[351698, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.2.1.2.2.4.30-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 22, 2015) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.2.1.2.2.4.30-2']
[350951, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.6.2.17-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 24, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.6.2.17-1']
[350953, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.6.2.15-3', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 24, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.6.2.15-3']
[351028, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.6.1.52-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 24, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.6.1.52-1']
[351029, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.6.1.51-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 24, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.6.1.51-1']
[351189, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.5.3.116-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 24, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.5.3.116-1']
[351283, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.4.3.5-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 25, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.4.3.5-2']
[351521, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.5.1.2.3.6.4-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 25, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.5.1.2.3.6.4-1']
[351341, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.4.2.28-3', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 28, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.4.2.28-3']
[351425, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.5.2.2.3.4.76-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 28, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.5.2.2.3.4.76-1']
[351535, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.5.1.2.3.2.47-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 28, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.5.1.2.3.2.47-1']
[351027, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.6.1.53-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 30, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.6.1.53-1']
[351187, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.5.3.118-4', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 30, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.5.3.118-4']
[351188, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.5.3.117-3', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 30, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.5.3.117-3']
[351254, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.5.0.78-5', 'http://repo.hortonworks.com/content/repositories/releases', '(Oct 30, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.5.0.78-5']
[351443, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.5.2.2.3.4.57-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 01, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.5.2.2.3.4.57-2']
[351540, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.5.1.2.3.2.42-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 01, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.5.1.2.3.2.42-1']
[351350, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.4.2.20-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 02, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.4.2.20-2']
[351351, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.4.2.19-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 02, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.4.2.19-1']
[351384, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.0.2.4.0.12-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 02, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.0.2.4.0.12-1']
[351441, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.5.2.2.3.4.59-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 02, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.5.2.2.3.4.59-1']
[351442, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.5.2.2.3.4.58-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 02, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.5.2.2.3.4.58-1']
[351712, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.2.1.2.2.4.10-14', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 02, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.2.1.2.2.4.10-14']
[351538, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.5.1.2.3.2.44-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 05, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.5.1.2.3.2.44-2']
[351656, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.2.1.2.2.6.23-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 05, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.2.1.2.2.6.23-1']
[351045, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.6.1.32-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 07, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.6.1.32-2']
[351121, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.5.6.4-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 07, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.5.6.4-1']
[350969, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.6.2.2-4', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 08, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.6.2.2-4']
[351257, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.5.0.73-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 08, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.5.0.73-2']
[351386, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.0.2.4.0.10-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 09, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.0.2.4.0.10-2']
[351439, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.5.2.2.3.4.61-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 09, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.5.2.2.3.4.61-1']
[351453, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.5.2.2.3.4.46-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 09, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.5.2.2.3.4.46-2']
[351437, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.5.2.2.3.4.64-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 10, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.5.2.2.3.4.64-2']
[351666, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.2.1.2.2.6.13-7', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 10, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.2.1.2.2.6.13-7']
[351347, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.4.2.23-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 12, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.4.2.23-1']
[351356, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.4.2.3-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 12, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.4.2.3-1']
[351489, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.5.2.2.3.4.18-7', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 12, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.5.2.2.3.4.18-7']
[351044, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.6.1.33-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 12, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.6.1.33-2']
[351223, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.5.3.81-4', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 12, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.5.3.81-4']
[351256, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.5.0.74-3', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 12, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.5.0.74-3']
[350968, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.6.2.2-5', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 13, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.6.2.2-5']
[351042, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.6.1.35-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 13, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.6.1.35-1']
[351103, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.6.0.26-2', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 13, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.6.0.26-2']
[351346, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.4.2.24-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 15, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.4.2.24-1']
[351354, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.2.2.4.2.14-5', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 15, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.2.2.4.2.14-5']
[351436, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.5.2.2.3.4.65-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 15, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.5.2.2.3.4.65-1']
[351440, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.5.2.2.3.4.60-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 15, 2016) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.5.2.2.3.4.60-1']
[350967, 'org.apache.spark', 'spark-hive-thriftserver_2.10', '1.6.3.2.6.2.3-1', 'http://repo.hortonworks.com/content/repositories/releases', '(Sep 15, 2017) ', 'https://mvnrepository.com/artifact/org.apache.spark/spark-hive-thriftserver_2.10/1.6.3.2.6.2.3-1']
